peptide,1,2,3,4,5,6,7,8
DiSul-by-ion,2605.149,1303.078,869.055,652.043,521.836,435.031,373.028,326.525
SG-CHH-pyro-Q-reduced-by-ion,2609.18,1305.094,870.399,653.051,522.642,435.703,373.604,327.029
DiSul-by-ion,2619.182,1310.095,873.733,655.551,524.643,437.37,375.033,328.28
CPRP-by-ion,2621.467,1311.237,874.494,656.123,525.1,437.751,375.359,328.565
DiSul-by-ion,2622.175,1311.592,874.73,656.3,525.241,437.869,375.46,328.654
DiSul-by-ion,2623.323,1312.165,875.113,656.587,525.471,438.06,375.624,328.797
DiSul-by-ion,2624.307,1312.657,875.441,656.833,525.668,438.224,375.765,328.92
DiSul-cz-ion,2625.314,1313.161,875.777,657.084,525.869,438.392,375.909,329.046
SG-CHH-pyro-Q-reduced-by-ion,2626.207,1313.607,876.074,657.308,526.048,438.541,376.036,329.158
DiSul-cz-ion,2626.322,1313.665,876.113,657.336,526.071,438.56,376.053,329.172
DiSul-cz-ion,2627.326,1314.167,876.447,657.587,526.271,438.728,376.196,329.298
DiSul-cz-ion,2628.329,1314.668,876.782,657.838,526.472,438.895,376.339,329.423
DiSul-by-ion,2632.16,1316.584,878.058,658.796,527.238,439.533,376.887,329.902
DiSul-by-ion,2633.144,1317.076,878.386,659.042,527.435,439.697,377.027,330.025
DiSul-by-ion,2633.215,1317.112,878.41,659.06,527.449,439.709,377.037,330.034
SG-CHH-pyro-Q-reduced-by-ion,2636.191,1318.599,879.402,659.804,528.044,440.205,377.463,330.406
DiSul-by-ion,2636.209,1318.608,879.408,659.808,528.048,440.208,377.465,330.408
SG-CHH-pyro-Q-reduced-by-ion,2637.175,1319.091,879.73,660.05,528.241,440.369,377.603,330.529
CPRP-by-ion,2637.462,1319.235,879.826,660.121,528.299,440.417,377.644,330.565
CPRP-by-ion,2638.493,1319.751,880.17,660.379,528.505,440.589,377.791,330.693
DiSul-by-ion,2639.202,1320.105,880.406,660.556,528.647,440.707,377.893,330.782
DiSul-by-ion,2641.333,1321.17,881.116,661.089,529.073,441.062,378.197,331.048
SG-CHH-reduced-by-ion,2643.233,1322.12,881.75,661.564,529.453,441.379,378.469,331.286
DiSul-by-ion,2646.193,1323.6,882.736,662.304,530.045,441.872,378.891,331.656
DiSul-by-ion,2647.177,1324.092,883.064,662.55,530.242,442.036,379.032,331.779
CPRP-by-ion,2648.478,1324.743,883.498,662.875,530.502,442.253,379.218,331.942
DiSul-by-ion,2649.186,1325.097,883.734,663.052,530.643,442.371,379.319,332.03
CPRP-by-ion,2649.388,1325.198,883.801,663.103,530.684,442.405,379.348,332.055
CPRP-by-ion,2649.462,1325.235,883.826,663.121,530.699,442.417,379.358,332.065
DiSul-by-ion,2650.17,1325.589,884.062,663.298,530.84,442.535,379.46,332.153
DiSul-by-ion,2650.242,1325.625,884.086,663.316,530.855,442.547,379.47,332.162
CPRP-by-ion,2650.372,1325.69,884.129,663.349,530.881,442.569,379.488,332.178
CPRP-cz-ion,2651.38,1326.194,884.465,663.601,531.082,442.737,379.632,332.304
CPRP-cz-ion,2652.388,1326.698,884.801,663.853,531.284,442.905,379.776,332.43
SG-CHH-reduced-by-ion,2653.217,1327.113,885.078,664.06,531.45,443.043,379.895,332.534
DiSul-by-ion,2653.235,1327.121,885.084,664.065,531.453,443.046,379.897,332.536
CPRP-cz-ion,2653.391,1327.2,885.136,664.104,531.485,443.072,379.92,332.556
SG-CHH-pyro-Q-reduced-by-ion,2654.201,1327.605,885.406,664.306,531.647,443.207,380.035,332.657
CPRP-cz-ion,2654.395,1327.701,885.47,664.355,531.685,443.239,380.063,332.681
CPRP-by-ion,2654.488,1327.748,885.501,664.378,531.704,443.255,380.076,332.693
DiSul-by-ion,2660.226,1330.617,887.414,665.812,532.852,444.211,380.896,333.41
DiSul-by-ion,2661.21,1331.109,887.742,666.058,533.048,444.375,381.037,333.533
DiSul-by-ion,2663.22,1332.114,888.412,666.561,533.45,444.71,381.324,333.784
DiSul-by-ion,2664.204,1332.606,888.74,666.807,533.647,444.874,381.464,333.907
CPRP-by-ion,2664.473,1332.74,888.829,666.874,533.701,444.919,381.503,333.941
CPRP-by-ion,2665.457,1333.232,889.157,667.12,533.898,445.083,381.643,334.064
DiSul-cz-ion,2666.189,1333.598,889.401,667.303,534.044,445.205,381.748,334.155
DiSul-by-ion,2666.278,1333.643,889.431,667.325,534.062,445.22,381.761,334.167
CPRP-by-ion,2666.488,1333.748,889.501,667.378,534.104,445.255,381.791,334.193
DiSul-by-ion,2667.197,1334.102,889.737,667.555,534.246,445.373,381.892,334.281
DiSul-by-ion,2667.262,1334.135,889.759,667.571,534.259,445.384,381.901,334.29
DiSul-by-ion,2667.269,1334.138,889.761,667.573,534.26,445.385,381.902,334.29
CPRP-by-ion,2667.399,1334.203,889.805,667.606,534.286,445.406,381.921,334.307
DiSul-cz-ion,2668.2,1334.604,890.072,667.806,534.446,445.54,382.035,334.407
DiSul-cz-ion,2668.269,1334.639,890.095,667.823,534.46,445.551,382.045,334.415
SG-CHH-pyro-Q-reduced-by-ion,2668.293,1334.651,890.103,667.829,534.465,445.555,382.049,334.418
DiSul-cz-ion,2669.203,1335.106,890.406,668.057,534.647,445.707,382.179,334.532
SG-CHH-pyro-Q-reduced-by-ion,2669.277,1335.143,890.431,668.075,534.662,445.719,382.189,334.541
SG-CHH-pyro-Q-reduced-cz-ion,2670.22,1335.614,890.745,668.311,534.85,445.877,382.324,334.659
DiSul-cz-ion,2670.281,1335.644,890.765,668.326,534.862,445.887,382.333,334.667
SG-CHH-pyro-Q-reduced-cz-ion,2670.285,1335.646,890.767,668.327,534.863,445.887,382.333,334.667
SG-CHH-reduced-by-ion,2671.228,1336.118,891.081,668.563,535.052,446.045,382.468,334.785
DiSul-cz-ion,2671.284,1336.146,891.1,668.577,535.063,446.054,382.476,334.792
SG-CHH-pyro-Q-reduced-cz-ion,2671.293,1336.15,891.103,668.579,535.065,446.055,382.477,334.793
SG-CHH-pyro-Q-reduced-cz-ion,2672.231,1336.62,891.416,668.814,535.253,446.212,382.611,334.911
SG-CHH-pyro-Q-reduced-cz-ion,2672.296,1336.652,891.437,668.83,535.266,446.223,382.62,334.919
SG-CHH-pyro-Q-reduced-cz-ion,2673.235,1337.121,891.75,669.065,535.453,446.379,382.755,335.036
SG-CHH-pyro-Q-reduced-cz-ion,2673.3,1337.154,891.772,669.081,535.466,446.39,382.764,335.044
DiSul-by-ion,2677.253,1339.13,893.09,670.069,536.257,447.049,383.329,335.538
DiSul-by-ion,2678.237,1339.622,893.418,670.315,536.454,447.213,383.469,335.661
CPRP-by-ion,2678.488,1339.748,893.501,670.378,536.504,447.255,383.505,335.693
DiSul-cz-ion,2680.222,1340.615,894.079,670.811,536.851,447.544,383.753,335.91
DiSul-by-ion,2681.23,1341.119,894.415,671.063,537.052,447.712,383.897,336.036
DiSul-cz-ion,2682.233,1341.621,894.75,671.314,537.253,447.879,384.04,336.161
CPRP-by-ion,2682.483,1341.746,894.833,671.377,537.303,447.92,384.076,336.192
CPRP-cz-ion,2682.507,1341.757,894.841,671.383,537.308,447.924,384.079,336.195
DiSul-cz-ion,2683.215,1342.112,895.077,671.56,537.449,448.042,384.18,336.284
DiSul-cz-ion,2683.237,1342.122,895.084,671.565,537.454,448.046,384.183,336.286
CPRP-cz-ion,2683.515,1342.261,895.177,671.635,537.509,448.092,384.223,336.321
DiSul-cz-ion,2684.223,1342.616,895.413,671.812,537.651,448.21,384.324,336.41
DiSul-by-ion,2684.288,1342.648,895.435,671.828,537.664,448.221,384.334,336.418
CPRP-cz-ion,2684.518,1342.763,895.511,671.885,537.71,448.26,384.366,336.447
DiSul-cz-ion,2685.227,1343.117,895.747,672.063,537.852,448.378,384.468,336.535
CPRP-cz-ion,2685.522,1343.265,895.846,672.136,537.911,448.427,384.51,336.572
DiSul-cz-ion,2686.23,1343.619,896.082,672.313,538.052,448.545,384.611,336.661
SG-CHH-pyro-Q-reduced-by-ion,2686.304,1343.656,896.106,672.332,538.067,448.557,384.622,336.67
SG-CHH-reduced-cz-ion,2687.247,1344.127,896.421,672.568,538.256,448.714,384.756,336.788
SG-CHH-reduced-cz-ion,2688.255,1344.631,896.757,672.82,538.457,448.882,384.9,336.914
SG-CHH-reduced-cz-ion,2689.258,1345.133,897.091,673.07,538.658,449.05,385.044,337.039
SG-CHH-reduced-cz-ion,2690.261,1345.635,897.426,673.321,538.859,449.217,385.187,337.164
DiSul-cz-ion,2694.256,1347.632,898.757,674.32,539.657,449.883,385.758,337.664
CPRP-by-ion,2694.483,1347.746,898.833,674.377,539.703,449.92,385.79,337.692
DiSul-by-ion,2695.264,1348.136,899.093,674.572,539.859,450.051,385.902,337.79
CPRP-by-ion,2695.515,1348.261,899.177,674.635,539.909,450.092,385.937,337.821
DiSul-cz-ion,2696.267,1348.637,899.427,674.823,540.06,450.218,386.045,337.915
DiSul-cz-ion,2697.249,1349.128,899.755,675.068,540.256,450.381,386.185,338.038
DiSul-cz-ion,2697.27,1349.139,899.762,675.073,540.26,450.385,386.188,338.041
DiSul-cz-ion,2698.257,1349.632,900.091,675.32,540.458,450.549,386.329,338.164
CPRP-cz-ion,2698.502,1349.755,900.173,675.381,540.507,450.59,386.364,338.195
DiSul-cz-ion,2699.26,1350.134,900.425,675.571,540.658,450.717,386.472,338.289
CPRP-cz-ion,2699.51,1350.259,900.508,675.633,540.708,450.758,386.508,338.321
DiSul-cz-ion,2700.263,1350.636,900.76,675.822,540.859,450.884,386.616,338.415
CPRP-cz-ion,2700.513,1350.76,900.843,675.884,540.909,450.925,386.651,338.446
CPRP-cz-ion,2701.516,1351.262,901.177,676.135,541.11,451.093,386.795,338.571
CPRP-by-ion,2705.499,1353.254,902.505,677.131,541.906,451.756,387.364,339.069
CPRP-by-ion,2706.483,1353.746,902.833,677.377,542.103,451.92,387.504,339.192
DiSul-cz-ion,2711.282,1356.145,904.433,678.576,543.063,452.72,388.19,339.792
CPRP-by-ion,2711.51,1356.259,904.508,678.633,543.108,452.758,388.222,339.821
DiSul-cz-ion,2712.29,1356.649,904.769,678.828,543.264,452.888,388.334,339.918
DiSul-cz-ion,2713.293,1357.151,905.103,679.079,543.465,453.055,388.477,340.043
DiSul-cz-ion,2714.297,1357.652,905.437,679.33,543.666,453.223,388.621,340.169
DiSul-by-ion,2720.176,1360.592,907.397,680.8,544.841,454.203,389.46,340.904
DiSul-by-ion,2721.385,1361.196,907.8,681.102,545.083,454.404,389.633,341.055
CPRP-by-ion,2721.494,1361.251,907.837,681.129,545.105,454.422,389.649,341.069
DiSul-by-ion,2722.369,1361.688,908.128,681.348,545.28,454.568,389.774,341.178
CPRP-by-ion,2722.478,1361.743,908.165,681.375,545.302,454.586,389.789,341.192
DiSul-cz-ion,2723.377,1362.192,908.464,681.6,545.482,454.736,389.918,341.304
CPRP-by-ion,2723.51,1362.259,908.508,681.633,545.508,454.758,389.937,341.321
SG-CHH-pyro-Q-reduced-by-ion,2724.207,1362.607,908.741,681.808,545.648,454.874,390.036,341.408
DiSul-by-ion,2724.316,1362.662,908.777,681.835,545.669,454.893,390.052,341.421
DiSul-cz-ion,2724.385,1362.696,908.8,681.852,545.683,454.904,390.062,341.43
DiSul-by-ion,2725.3,1363.154,909.105,682.081,545.866,455.057,390.192,341.544
DiSul-cz-ion,2725.388,1363.198,909.135,682.103,545.884,455.071,390.205,341.555
DiSul-cz-ion,2726.308,1363.658,909.441,682.333,546.068,455.225,390.336,341.67
PO-CHH-reduced-by-ion,2726.332,1363.67,909.449,682.339,546.073,455.229,390.34,341.673
DiSul-cz-ion,2726.392,1363.7,909.469,682.354,546.085,455.239,390.348,341.681
PO-CHH-reduced-by-ion,2727.316,1364.162,909.777,682.585,546.269,455.393,390.48,341.796
DiSul-cz-ion,2728.319,1364.663,910.112,682.836,546.47,455.56,390.624,341.922
PO-CHH-pyro-Q-reduced-cz-ion,2728.324,1364.666,910.113,682.837,546.471,455.561,390.624,341.922
DiSul-cz-ion,2729.322,1365.165,910.446,683.086,546.671,455.727,390.767,342.047
PO-CHH-pyro-Q-reduced-cz-ion,2729.331,1365.17,910.449,683.089,546.673,455.728,390.768,342.048
PO-CHH-pyro-Q-reduced-cz-ion,2730.335,1365.671,910.783,683.34,546.873,455.896,390.912,342.174
PO-CHH-pyro-Q-reduced-cz-ion,2731.338,1366.173,911.118,683.59,547.074,456.063,391.055,342.299
DiSul-by-ion,2734.209,1367.608,912.075,684.308,547.648,456.541,391.465,342.658
DiSul-by-ion,2737.202,1369.105,913.073,685.056,548.247,457.04,391.893,343.032
DiSul-by-ion,2739.396,1370.202,913.804,685.605,548.685,457.406,392.206,343.306
CPRP-by-ion,2739.505,1370.256,913.84,685.632,548.707,457.424,392.222,343.32
CPRP-cz-ion,2739.529,1370.268,913.848,685.638,548.712,457.428,392.225,343.323
CPRP-cz-ion,2740.536,1370.772,914.184,685.89,548.914,457.596,392.369,343.449
SG-CHH-pyro-Q-reduced-by-ion,2741.233,1371.121,914.416,686.064,549.053,457.712,392.469,343.536
CPRP-cz-ion,2741.54,1371.274,914.518,686.141,549.114,457.763,392.512,343.574
DiSul-by-ion,2742.327,1371.667,914.781,686.338,549.272,457.894,392.625,343.673
CPRP-cz-ion,2742.543,1371.775,914.853,686.392,549.315,457.93,392.656,343.7
PO-CHH-reduced-by-ion,2744.342,1372.675,915.453,686.841,549.675,458.23,392.913,343.925
DiSul-by-ion,2747.187,1374.097,916.401,687.553,550.244,458.704,393.319,344.28
DiSul-by-ion,2748.171,1374.589,916.729,687.799,550.44,458.868,393.46,344.403
SG-CHH-pyro-Q-reduced-by-ion,2751.218,1376.113,917.744,688.56,551.05,459.376,393.895,344.784
DiSul-by-ion,2751.236,1376.122,917.75,688.565,551.053,459.379,393.898,344.786
SG-CHH-pyro-Q-reduced-by-ion,2752.202,1376.605,918.072,688.806,551.247,459.54,394.036,344.907
DiSul-by-ion,2754.229,1377.618,918.748,689.313,551.652,459.878,394.325,345.16
DiSul-by-ion,2754.363,1377.685,918.793,689.347,551.679,459.9,394.344,345.177
DiSul-by-ion,2755.347,1378.177,919.121,689.593,551.876,460.064,394.485,345.3
CPRP-cz-ion,2755.523,1378.266,919.18,689.637,551.911,460.094,394.51,345.322
DiSul-cz-ion,2756.355,1378.681,919.457,689.845,552.077,460.232,394.629,345.426
CPRP-cz-ion,2756.531,1378.77,919.516,689.889,552.113,460.262,394.654,345.448
DiSul-cz-ion,2757.363,1379.185,919.793,690.097,552.279,460.4,394.773,345.552
CPRP-cz-ion,2757.535,1379.271,919.85,690.14,552.313,460.429,394.797,345.574
SG-CHH-reduced-by-ion,2758.26,1379.634,920.092,690.321,552.458,460.55,394.901,345.664
DiSul-cz-ion,2758.366,1379.687,920.127,690.347,552.479,460.568,394.916,345.678
CPRP-cz-ion,2758.538,1379.773,920.185,690.39,552.514,460.596,394.941,345.699
DiSul-cz-ion,2759.369,1380.189,920.462,690.598,552.68,460.735,395.059,345.803
DiSul-by-ion,2761.22,1381.114,921.079,691.061,553.05,461.043,395.324,346.034
DiSul-by-ion,2762.204,1381.606,921.407,691.307,553.247,461.207,395.464,346.157
DiSul-by-ion,2764.213,1382.61,922.076,691.809,553.649,461.542,395.751,346.408
DiSul-by-ion,2765.197,1383.102,922.404,692.055,553.846,461.706,395.892,346.531
SG-CHH-reduced-by-ion,2768.244,1384.626,923.42,692.817,554.455,462.214,396.327,346.912
DiSul-by-ion,2768.262,1384.635,923.426,692.821,554.459,462.217,396.33,346.915
SG-CHH-pyro-Q-reduced-by-ion,2769.228,1385.118,923.748,693.063,554.652,462.378,396.468,347.035
DiSul-by-ion,2772.374,1386.691,924.796,693.849,555.281,462.902,396.917,347.429
DiSul-by-ion,2778.246,1389.627,926.754,695.317,556.456,463.881,397.756,348.163
DiSul-by-ion,2779.23,1390.119,927.082,695.563,556.652,464.045,397.897,348.286
DiSul-cz-ion,2781.216,1391.112,927.744,696.06,557.049,464.376,398.18,348.534
DiSul-by-ion,2782.224,1391.616,928.08,696.312,557.251,464.544,398.324,348.66
DiSul-cz-ion,2783.227,1392.117,928.414,696.563,557.452,464.711,398.468,348.785
DiSul-cz-ion,2784.23,1392.619,928.749,696.813,557.652,464.878,398.611,348.911
SG-CHH-pyro-Q-reduced-cz-ion,2785.247,1393.127,929.088,697.068,557.856,465.048,398.756,349.038
SG-CHH-reduced-by-ion,2786.255,1393.631,929.424,697.32,558.057,465.216,398.9,349.164
SG-CHH-pyro-Q-reduced-cz-ion,2787.258,1394.133,929.758,697.57,558.258,465.383,399.044,349.289
SG-CHH-pyro-Q-reduced-cz-ion,2788.262,1394.635,930.092,697.821,558.459,465.55,399.187,349.415
DiSul-cz-ion,2795.249,1398.129,932.422,699.568,559.856,466.715,400.185,350.288
DiSul-by-ion,2796.257,1398.632,932.758,699.82,560.058,466.883,400.329,350.414
DiSul-by-ion,2796.279,1398.643,932.765,699.826,560.062,466.886,400.332,350.417
DiSul-cz-ion,2797.26,1399.134,933.092,700.071,560.258,467.05,400.472,350.539
DiSul-cz-ion,2798.242,1399.625,933.419,700.316,560.455,467.214,400.613,350.662
DiSul-cz-ion,2798.264,1399.636,933.426,700.322,560.459,467.217,400.616,350.665
DiSul-cz-ion,2799.25,1400.129,933.755,700.568,560.656,467.382,400.757,350.788
DiSul-cz-ion,2800.254,1400.631,934.09,700.819,560.857,467.549,400.9,350.914
DiSul-cz-ion,2801.257,1401.132,934.424,701.07,561.058,467.716,401.043,351.039
SG-CHH-reduced-cz-ion,2802.274,1401.641,934.763,701.324,561.261,467.886,401.189,351.166
SG-CHH-reduced-cz-ion,2803.281,1402.145,935.099,701.576,561.463,468.053,401.333,351.292
SG-CHH-reduced-cz-ion,2804.285,1402.646,935.433,701.827,561.663,468.221,401.476,351.417
SG-CHH-reduced-cz-ion,2805.288,1403.148,935.768,702.078,561.864,468.388,401.619,351.543
CPRP-by-ion,2805.489,1403.249,935.835,702.128,561.904,468.421,401.648,351.568
CPRP-by-ion,2806.473,1403.741,936.163,702.374,562.101,468.585,401.789,351.691
CPRP-cz-ion,2807.481,1404.245,936.499,702.626,562.303,468.753,401.933,351.817
CPRP-cz-ion,2808.489,1404.748,936.835,702.878,562.504,468.921,402.077,351.943
CPRP-cz-ion,2809.492,1405.25,937.169,703.129,562.705,469.089,402.22,352.068
CPRP-cz-ion,2810.496,1405.752,937.504,703.38,562.905,469.256,402.363,352.194
DiSul-cz-ion,2812.276,1406.642,938.097,703.825,563.261,469.553,402.618,352.416
DiSul-cz-ion,2813.284,1407.146,938.433,704.077,563.463,469.721,402.762,352.542
DiSul-by-ion,2813.305,1407.157,938.44,704.082,563.467,469.724,402.765,352.545
DiSul-cz-ion,2814.287,1407.647,938.768,704.328,563.664,469.888,402.905,352.668
DiSul-cz-ion,2815.29,1408.149,939.102,704.578,563.864,470.055,403.048,352.793
DiSul-by-ion,2822.379,1411.693,941.465,706.351,565.282,471.236,404.061,353.679
DiSul-by-ion,2823.29,1412.149,941.768,706.578,565.464,471.388,404.191,353.793
DiSul-by-ion,2823.363,1412.185,941.793,706.597,565.479,471.4,404.201,353.802
CPRP-by-ion,2823.5,1412.254,941.839,706.631,565.506,471.423,404.221,353.819
DiSul-by-ion,2824.274,1412.641,942.096,706.824,565.661,471.552,404.332,353.916
DiSul-cz-ion,2824.371,1412.689,942.129,706.849,565.68,471.568,404.345,353.928
SG-CHH-pyro-Q-reduced-by-ion,2824.394,1412.701,942.137,706.854,565.685,471.572,404.349,353.931
SG-CHH-pyro-Q-reduced-by-ion,2825.378,1413.193,942.465,707.1,565.882,471.736,404.489,354.054
CPRP-by-ion,2825.557,1413.282,942.524,707.145,565.918,471.766,404.515,354.076
DiSul-cz-ion,2826.382,1413.695,942.799,707.351,566.083,471.904,404.633,354.18
SG-CHH-pyro-Q-reduced-cz-ion,2826.386,1413.697,942.801,707.352,566.083,471.904,404.633,354.18
DiSul-cz-ion,2827.385,1414.196,943.134,707.602,566.283,472.071,404.776,354.305
SG-CHH-pyro-Q-reduced-cz-ion,2827.394,1414.201,943.137,707.604,566.285,472.072,404.777,354.306
SG-CHH-pyro-Q-reduced-cz-ion,2828.397,1414.703,943.471,707.855,566.486,472.239,404.921,354.431
SG-CHH-pyro-Q-reduced-cz-ion,2829.401,1415.204,943.805,708.106,566.686,472.407,405.064,354.557
DiSul-by-ion,2830.332,1415.67,944.116,708.339,566.873,472.562,405.197,354.673
DiSul-by-ion,2834.469,1417.739,945.495,709.373,567.7,473.251,405.788,355.19
DiSul-by-ion,2835.203,1418.105,945.739,709.557,567.847,473.374,405.893,355.282
DiSul-by-ion,2835.453,1418.231,945.823,709.619,567.897,473.415,405.929,355.313
DiSul-cz-ion,2836.461,1418.734,946.159,709.871,568.098,473.583,406.073,355.439
DiSul-cz-ion,2837.469,1419.238,946.495,710.123,568.3,473.751,406.217,355.565
DiSul-cz-ion,2838.472,1419.74,946.829,710.374,568.501,473.919,406.36,355.691
SG-CHH-pyro-Q-reduced-by-ion,2839.234,1420.121,947.083,710.564,568.653,474.046,406.469,355.786
DiSul-cz-ion,2839.476,1420.242,947.164,710.625,568.701,474.086,406.503,355.816
DiSul-by-ion,2840.316,1420.662,947.444,710.835,568.87,474.226,406.623,355.921
DiSul-by-ion,2840.389,1420.699,947.468,710.853,568.884,474.238,406.634,355.93
DiSul-by-ion,2841.3,1421.154,947.772,711.081,569.066,474.39,406.764,356.044
CPRP-by-ion,2841.552,1421.28,947.856,711.144,569.117,474.432,406.8,356.076
SG-CHH-pyro-Q-reduced-by-ion,2842.405,1421.706,948.14,711.357,569.287,474.574,406.922,356.182
CPRP-by-ion,2842.583,1421.796,948.2,711.402,569.323,474.604,406.947,356.205
DiSul-by-ion,2852.229,1426.618,951.415,713.813,571.252,476.211,408.325,357.41
DiSul-by-ion,2852.48,1426.744,951.498,713.876,571.302,476.253,408.361,357.442
CPRP-by-ion,2852.568,1426.788,951.528,713.898,571.32,476.268,408.374,357.453
CPRP-by-ion,2853.552,1427.28,951.856,714.144,571.517,476.432,408.514,357.576
DiSul-by-ion,2855.357,1428.182,952.457,714.595,571.878,476.733,408.772,357.801
SG-CHH-pyro-Q-reduced-by-ion,2856.26,1428.634,952.759,714.821,572.058,476.883,408.901,357.914
DiSul-by-ion,2856.341,1428.674,952.785,714.841,572.074,476.897,408.913,357.924
DiSul-cz-ion,2857.319,1429.163,953.112,715.086,572.27,477.06,409.052,358.047
DiSul-cz-ion,2857.348,1429.178,953.121,715.093,572.276,477.065,409.056,358.05
PO-CHH-reduced-by-ion,2857.372,1429.19,953.129,715.099,572.281,477.069,409.06,358.053
DiSul-by-ion,2858.327,1429.667,953.447,715.338,572.472,477.228,409.196,358.173
PO-CHH-reduced-by-ion,2858.356,1429.682,953.457,715.345,572.478,477.233,409.2,358.176
CPRP-by-ion,2858.578,1429.793,953.531,715.4,572.522,477.27,409.232,358.204
DiSul-cz-ion,2859.33,1430.169,953.782,715.588,572.672,477.395,409.34,358.298
DiSul-cz-ion,2859.36,1430.184,953.792,715.596,572.678,477.4,409.344,358.302
PO-CHH-pyro-Q-reduced-cz-ion,2859.364,1430.186,953.793,715.597,572.679,477.401,409.344,358.302
DiSul-cz-ion,2860.334,1430.671,954.116,715.839,572.873,477.562,409.483,358.424
DiSul-cz-ion,2860.363,1430.685,954.126,715.847,572.879,477.567,409.487,358.427
PO-CHH-pyro-Q-reduced-cz-ion,2860.372,1430.69,954.129,715.849,572.881,477.569,409.488,358.428
PO-CHH-pyro-Q-reduced-cz-ion,2861.375,1431.192,954.464,716.1,573.081,477.736,409.632,358.554
DiSul-by-ion,2862.213,1431.611,954.743,716.309,573.249,477.875,409.751,358.658
PO-CHH-pyro-Q-reduced-cz-ion,2862.379,1431.693,954.798,716.351,573.282,477.903,409.775,358.679
CPRP-by-ion,2862.511,1431.759,954.842,716.384,573.308,477.925,409.794,358.696
DiSul-by-ion,2863.197,1432.103,955.071,716.555,573.446,478.039,409.892,358.781
CPRP-by-ion,2863.495,1432.251,955.17,716.63,573.505,478.089,409.935,358.819
CPRP-cz-ion,2864.503,1432.755,955.506,716.882,573.707,478.257,410.079,358.945
CPRP-cz-ion,2865.511,1433.259,955.842,717.134,573.908,478.425,410.223,359.071
SG-CHH-pyro-Q-reduced-by-ion,2866.245,1433.626,956.087,717.317,574.055,478.547,410.327,359.162
CPRP-cz-ion,2866.514,1433.761,956.177,717.384,574.109,478.592,410.366,359.196
SG-CHH-pyro-Q-reduced-by-ion,2867.229,1434.118,956.415,717.563,574.252,478.711,410.468,359.285
CPRP-cz-ion,2867.517,1434.263,956.511,717.635,574.31,478.759,410.509,359.321
CPRP-by-ion,2868.563,1434.785,956.859,717.897,574.519,478.934,410.659,359.452
DiSul-by-ion,2869.256,1435.132,957.09,718.07,574.657,479.049,410.758,359.539
CPRP-by-ion,2869.547,1435.277,957.187,718.143,574.716,479.098,410.799,359.575
CPRP-by-ion,2870.578,1435.793,957.531,718.4,574.922,479.27,410.946,359.704
SG-CHH-reduced-by-ion,2873.287,1437.147,958.434,719.078,575.464,479.721,411.333,360.043
DiSul-by-ion,2873.367,1437.187,958.461,719.098,575.48,479.734,411.345,360.053
DiSul-cz-ion,2874.346,1437.677,958.787,719.342,575.675,479.898,411.485,360.175
DiSul-cz-ion,2875.353,1438.181,959.123,719.594,575.877,480.065,411.629,360.301
PO-CHH-reduced-by-ion,2875.383,1438.195,959.133,719.602,575.883,480.07,411.633,360.305
DiSul-cz-ion,2876.357,1438.682,959.457,719.845,576.078,480.233,411.772,360.426
DiSul-cz-ion,2877.36,1439.184,959.792,720.096,576.278,480.4,411.915,360.552
DiSul-by-ion,2879.24,1440.124,960.419,720.566,576.654,480.713,412.184,360.787
DiSul-by-ion,2880.224,1440.616,960.747,720.812,576.851,480.877,412.324,360.91
CPRP-by-ion,2880.521,1440.765,960.846,720.886,576.911,480.927,412.367,360.947
SG-CHH-reduced-by-ion,2883.271,1442.14,961.762,721.574,577.461,481.385,412.76,361.291
SG-CHH-pyro-Q-reduced-by-ion,2884.255,1442.632,962.09,721.82,577.657,481.549,412.9,361.414
DiSul-by-ion,2885.404,1443.206,962.473,722.107,577.887,481.741,413.064,361.557
DiSul-by-ion,2886.388,1443.698,962.801,722.353,578.084,481.905,413.205,361.68
CPRP-by-ion,2886.573,1443.79,962.863,722.399,578.121,481.935,413.231,361.703
CPRP-cz-ion,2886.597,1443.802,962.871,722.405,578.126,481.939,413.235,361.706
DiSul-cz-ion,2887.395,1444.202,963.137,722.605,578.285,482.072,413.349,361.806
CPRP-cz-ion,2887.605,1444.306,963.207,722.657,578.327,482.107,413.379,361.832
DiSul-cz-ion,2888.403,1444.705,963.473,722.857,578.487,482.24,413.493,361.932
CPRP-cz-ion,2888.608,1444.808,963.541,722.908,578.528,482.275,413.522,361.958
DiSul-cz-ion,2889.407,1445.207,963.807,723.108,578.688,482.408,413.636,362.058
CPRP-cz-ion,2889.611,1445.31,963.876,723.159,578.729,482.442,413.665,362.083
DiSul-cz-ion,2890.41,1445.709,964.142,723.358,578.888,482.575,413.78,362.183
DiSul-cz-ion,2896.243,1448.625,966.086,724.817,580.055,483.547,414.613,362.912
DiSul-by-ion,2897.251,1449.129,966.422,725.069,580.256,483.715,414.757,363.038
DiSul-by-ion,2897.272,1449.14,966.429,725.074,580.261,483.719,414.76,363.041
DiSul-cz-ion,2898.254,1449.631,966.757,725.319,580.457,483.882,414.9,363.164
DiSul-cz-ion,2899.257,1450.133,967.091,725.57,580.658,484.049,415.043,363.289
SG-CHH-pyro-Q-reduced-cz-ion,2900.274,1450.641,967.43,725.824,580.861,484.219,415.189,363.416
SG-CHH-reduced-by-ion,2901.282,1451.145,967.766,726.076,581.063,484.387,415.333,363.542
