peptide,1,2,3,4,5,6,7,8
SG-CHH-pyro-Q-reduced-by-ion,225.123,113.066,75.713,57.037,45.831,38.36,33.024,29.022
CPRP-by-ion,226.13,113.569,76.049,57.288,46.032,38.528,33.168,29.148
CPRP-by-ion,227.114,114.061,76.377,57.534,46.229,38.692,33.309,29.271
PO-CHH-reduced-by-ion,232.14,116.574,78.052,58.791,47.234,39.53,34.027,29.899
SG-CHH-pyro-Q-reduced-cz-ion,241.142,121.075,81.053,61.041,49.035,41.03,35.313,31.025
SG-CHH-reduced-by-ion,242.15,121.579,81.389,61.293,49.236,41.198,35.457,31.151
CPRP-by-ion,243.134,122.071,81.717,61.539,49.433,41.362,35.597,31.274
SG-CHH-pyro-Q-reduced-cz-ion,243.153,122.081,81.723,61.544,49.437,41.365,35.6,31.276
CPRP-by-ion,244.14,122.574,82.052,61.791,49.634,41.53,35.741,31.399
SG-CHH-pyro-Q-reduced-cz-ion,244.157,122.582,82.057,61.795,49.638,41.533,35.743,31.401
CPRP-cz-ion,245.126,123.067,82.38,62.037,49.831,41.694,35.882,31.523
CPRP-cz-ion,246.134,123.571,82.716,62.289,50.033,41.862,36.026,31.649
CPRP-cz-ion,247.137,124.072,83.051,62.54,50.234,42.029,36.169,31.774
CPRP-cz-ion,248.14,124.574,83.385,62.791,50.434,42.197,36.312,31.899
SG-CHH-reduced-cz-ion,258.169,129.588,86.728,65.298,52.44,43.868,37.745,33.153
SG-CHH-reduced-cz-ion,259.177,130.092,87.064,65.55,52.642,44.036,37.889,33.279
CPRP-cz-ion,260.159,130.583,87.392,65.796,52.838,44.2,38.029,33.402
SG-CHH-reduced-cz-ion,260.18,130.594,87.398,65.801,52.842,44.203,38.032,33.404
CPRP-by-ion,261.145,131.076,87.72,66.042,53.035,44.364,38.17,33.525
CPRP-cz-ion,261.167,131.087,87.728,66.048,53.04,44.368,38.173,33.528
SG-CHH-reduced-cz-ion,261.183,131.096,87.733,66.052,53.043,44.37,38.176,33.53
CPRP-cz-ion,262.17,131.589,88.062,66.298,53.24,44.535,38.317,33.653
CPRP-cz-ion,263.174,132.091,88.396,66.549,53.441,44.702,38.46,33.779
CPRP-by-ion,270.156,135.582,90.724,68.295,54.837,45.866,39.458,34.651
CPRP-by-ion,287.183,144.095,96.399,72.552,58.243,48.704,41.89,36.78
CPRP-by-ion,297.167,149.087,99.728,75.048,60.24,50.368,43.316,38.028
CPRP-by-ion,298.151,149.579,100.056,75.294,60.436,50.532,43.457,38.151
CPRP-by-ion,315.178,158.093,105.731,79.55,63.842,53.37,45.889,40.279
SG-CHH-pyro-Q-reduced-by-ion,327.203,164.105,109.739,82.557,66.247,55.374,47.607,41.782
PO-CHH-reduced-by-ion,328.198,164.603,110.071,82.805,66.446,55.54,47.749,41.907
SG-CHH-pyro-Q-reduced-cz-ion,328.211,164.609,110.075,82.809,66.448,55.542,47.751,41.908
PO-CHH-pyro-Q-reduced-cz-ion,329.206,165.107,110.407,83.057,66.647,55.708,47.893,42.033
SG-CHH-pyro-Q-reduced-cz-ion,329.218,165.113,110.411,83.06,66.65,55.71,47.895,42.034
PO-CHH-pyro-Q-reduced-cz-ion,330.214,165.611,110.743,83.309,66.849,55.876,48.037,42.159
SG-CHH-pyro-Q-reduced-cz-ion,330.222,165.615,110.746,83.311,66.851,55.877,48.038,42.16
CPRP-cz-ion,331.196,166.102,111.071,83.555,67.046,56.039,48.178,42.281
PO-CHH-pyro-Q-reduced-cz-ion,331.217,166.112,111.078,83.56,67.05,56.043,48.181,42.284
SG-CHH-pyro-Q-reduced-cz-ion,331.225,166.116,111.08,83.562,67.051,56.044,48.182,42.285
CPRP-cz-ion,332.204,166.606,111.407,83.807,67.247,56.207,48.322,42.407
PO-CHH-pyro-Q-reduced-cz-ion,332.22,166.614,111.412,83.811,67.25,56.21,48.324,42.409
CPRP-cz-ion,333.207,167.108,111.741,84.058,67.448,56.374,48.465,42.533
CPRP-cz-ion,334.211,167.609,112.075,84.309,67.648,56.542,48.608,42.658
