Target Sequence,File Name,MH,M,7
EmptyTargetSequence,EmptyFileName,4819.66196,4818.65412,689.387
EmptyTargetSequence,EmptyFileName,4848.45996,4847.45212,693.501
EmptyTargetSequence,EmptyFileName,4862.59296,4861.58512,695.52
EmptyTargetSequence,EmptyFileName,4877.90896,4876.90112,697.708
EmptyTargetSequence,EmptyFileName,4906.48296,4905.47512,701.79
EmptyTargetSequence,EmptyFileName,4907.68696,4906.67912,701.962
EmptyTargetSequence,EmptyFileName,4919.61496,4918.60712,703.666
EmptyTargetSequence,EmptyFileName,4922.61796,4921.61012,704.095
EmptyTargetSequence,EmptyFileName,4928.05696,4927.04912,704.872
EmptyTargetSequence,EmptyFileName,4928.57496,4927.56712,704.946
EmptyTargetSequence,EmptyFileName,4931.05996,4930.05212,705.301
EmptyTargetSequence,EmptyFileName,4931.57796,4930.57012,705.375
EmptyTargetSequence,EmptyFileName,4933.64296,4932.63512,705.67
EmptyTargetSequence,EmptyFileName,4936.08596,4935.07812,706.019
EmptyTargetSequence,EmptyFileName,4939.08896,4938.08112,706.448
EmptyTargetSequence,EmptyFileName,4954.01296,4953.00512,708.58
EmptyTargetSequence,EmptyFileName,4962.01396,4961.00612,709.723
EmptyTargetSequence,EmptyFileName,4963.00796,4962.00012,709.865
EmptyTargetSequence,EmptyFileName,4970.58896,4969.58112,710.948
EmptyTargetSequence,EmptyFileName,4970.59596,4969.58812,710.949
EmptyTargetSequence,EmptyFileName,4970.61696,4969.60912,710.952
EmptyTargetSequence,EmptyFileName,4972.59096,4971.58312,711.234
EmptyTargetSequence,EmptyFileName,4973.10196,4972.09412,711.307
EmptyTargetSequence,EmptyFileName,4973.59196,4972.58412,711.377
EmptyTargetSequence,EmptyFileName,4973.59896,4972.59112,711.378
EmptyTargetSequence,EmptyFileName,4973.61996,4972.61212,711.381
EmptyTargetSequence,EmptyFileName,4975.59396,4974.58612,711.663
EmptyTargetSequence,EmptyFileName,4980.61296,4979.60512,712.38
EmptyTargetSequence,EmptyFileName,4983.61596,4982.60812,712.809
EmptyTargetSequence,EmptyFileName,4988.61396,4987.60612,713.523
EmptyTargetSequence,EmptyFileName,4989.57996,4988.57212,713.661
EmptyTargetSequence,EmptyFileName,5010.55896,5009.55112,716.658
EmptyTargetSequence,EmptyFileName,5014.10096,5013.09312,717.164
EmptyTargetSequence,EmptyFileName,5017.10396,5016.09612,717.593
EmptyTargetSequence,EmptyFileName,5019.11296,5018.10512,717.88
EmptyTargetSequence,EmptyFileName,5020.30996,5019.30212,718.051
EmptyTargetSequence,EmptyFileName,5026.07796,5025.07012,718.875
EmptyTargetSequence,EmptyFileName,5042.49996,5041.49212,721.221
EmptyTargetSequence,EmptyFileName,5067.63696,5066.62912,724.812
EmptyTargetSequence,EmptyFileName,5068.62396,5067.61612,724.953
EmptyTargetSequence,EmptyFileName,5068.67996,5067.67212,724.961
EmptyTargetSequence,EmptyFileName,5070.63996,5069.63212,725.241
EmptyTargetSequence,EmptyFileName,5070.64696,5069.63912,725.242
EmptyTargetSequence,EmptyFileName,5071.68996,5070.68212,725.391
EmptyTargetSequence,EmptyFileName,5077.16396,5076.15612,726.173
EmptyTargetSequence,EmptyFileName,5080.17396,5079.16612,726.603
EmptyTargetSequence,EmptyFileName,5082.64496,5081.63712,726.956
EmptyTargetSequence,EmptyFileName,5082.65196,5081.64412,726.957
EmptyTargetSequence,EmptyFileName,5083.63896,5082.63112,727.098
EmptyTargetSequence,EmptyFileName,5084.15696,5083.14912,727.172
EmptyTargetSequence,EmptyFileName,5085.63396,5084.62612,727.383
EmptyTargetSequence,EmptyFileName,5085.64096,5084.63312,727.384
EmptyTargetSequence,EmptyFileName,5085.64796,5084.64012,727.385
EmptyTargetSequence,EmptyFileName,5085.65496,5084.64712,727.386
EmptyTargetSequence,EmptyFileName,5086.64196,5085.63412,727.527
EmptyTargetSequence,EmptyFileName,5115.63596,5114.62812,731.669
EmptyTargetSequence,EmptyFileName,5116.12596,5115.11812,731.739
EmptyTargetSequence,EmptyFileName,5116.81896,5115.81112,731.838
EmptyTargetSequence,EmptyFileName,5120.66196,5119.65412,732.387
EmptyTargetSequence,EmptyFileName,5134.68296,5133.67512,734.39
EmptyTargetSequence,EmptyFileName,5148.70396,5147.69612,736.393
EmptyTargetSequence,EmptyFileName,5174.76496,5173.75712,740.116
EmptyTargetSequence,EmptyFileName,5193.11196,5192.10412,742.737
EmptyTargetSequence,EmptyFileName,5209.75096,5208.74312,745.114
EmptyTargetSequence,EmptyFileName,5209.75796,5208.75012,745.115
EmptyTargetSequence,EmptyFileName,5212.75396,5211.74612,745.543
EmptyTargetSequence,EmptyFileName,5212.76096,5211.75312,745.544
EmptyTargetSequence,EmptyFileName,5235.66496,5234.65712,748.816
EmptyTargetSequence,EmptyFileName,5238.76596,5237.75812,749.259
EmptyTargetSequence,EmptyFileName,5239.75996,5238.75212,749.401
EmptyTargetSequence,EmptyFileName,5239.76696,5238.75912,749.402
EmptyTargetSequence,EmptyFileName,5241.68496,5240.67712,749.676
EmptyTargetSequence,EmptyFileName,5241.76896,5240.76112,749.688
EmptyTargetSequence,EmptyFileName,5242.76296,5241.75512,749.83
EmptyTargetSequence,EmptyFileName,5242.76996,5241.76212,749.831
EmptyTargetSequence,EmptyFileName,5248.74096,5247.73312,750.684
EmptyTargetSequence,EmptyFileName,5270.76996,5269.76212,753.831
EmptyTargetSequence,EmptyFileName,5271.79896,5270.79112,753.978
EmptyTargetSequence,EmptyFileName,5273.77296,5272.76512,754.26
EmptyTargetSequence,EmptyFileName,5274.80196,5273.79412,754.407
EmptyTargetSequence,EmptyFileName,5274.80896,5273.80112,754.408
EmptyTargetSequence,EmptyFileName,5275.69796,5274.69012,754.535
EmptyTargetSequence,EmptyFileName,5280.68896,5279.68112,755.248
EmptyTargetSequence,EmptyFileName,5289.76796,5288.76012,756.545
EmptyTargetSequence,EmptyFileName,5298.73496,5297.72712,757.826
EmptyTargetSequence,EmptyFileName,5301.73796,5300.73012,758.255
EmptyTargetSequence,EmptyFileName,5321.86296,5320.85512,761.13
EmptyTargetSequence,EmptyFileName,5324.86596,5323.85812,761.559
EmptyTargetSequence,EmptyFileName,5333.81896,5332.81112,762.838
EmptyTargetSequence,EmptyFileName,5333.82596,5332.81812,762.839
EmptyTargetSequence,EmptyFileName,5334.80596,5333.79812,762.979
EmptyTargetSequence,EmptyFileName,5335.79996,5334.79212,763.121
EmptyTargetSequence,EmptyFileName,5336.82896,5335.82112,763.268
EmptyTargetSequence,EmptyFileName,5348.78496,5347.77712,764.976
EmptyTargetSequence,EmptyFileName,5349.31696,5348.30912,765.052
EmptyTargetSequence,EmptyFileName,5351.71096,5350.70312,765.394
EmptyTargetSequence,EmptyFileName,5352.78196,5351.77412,765.547
EmptyTargetSequence,EmptyFileName,5363.36596,5362.35812,767.059
EmptyTargetSequence,EmptyFileName,5366.36896,5365.36112,767.488
EmptyTargetSequence,EmptyFileName,5390.81296,5389.80512,770.98
EmptyTargetSequence,EmptyFileName,5392.81496,5391.80712,771.266
EmptyTargetSequence,EmptyFileName,5404.53296,5403.52512,772.94
EmptyTargetSequence,EmptyFileName,5418.64496,5417.63712,774.956
EmptyTargetSequence,EmptyFileName,5419.64596,5418.63812,775.099
EmptyTargetSequence,EmptyFileName,5419.76496,5418.75712,775.116
EmptyTargetSequence,EmptyFileName,5422.76796,5421.76012,775.545
EmptyTargetSequence,EmptyFileName,5425.06396,5424.05612,775.873
EmptyTargetSequence,EmptyFileName,5445.32896,5444.32112,778.768
EmptyTargetSequence,EmptyFileName,5458.83196,5457.82412,780.697
EmptyTargetSequence,EmptyFileName,5473.56696,5472.55912,782.802
EmptyTargetSequence,EmptyFileName,5475.82796,5474.82012,783.125
EmptyTargetSequence,EmptyFileName,5481.81296,5480.80512,783.98
EmptyTargetSequence,EmptyFileName,5495.88296,5494.87512,785.99
EmptyTargetSequence,EmptyFileName,5495.88996,5494.88212,785.991
EmptyTargetSequence,EmptyFileName,5498.88596,5497.87812,786.419
EmptyTargetSequence,EmptyFileName,5498.89296,5497.88512,786.42
EmptyTargetSequence,EmptyFileName,5504.85696,5503.84912,787.272
EmptyTargetSequence,EmptyFileName,5509.46996,5508.46212,787.931
EmptyTargetSequence,EmptyFileName,5514.87396,5513.86612,788.703
EmptyTargetSequence,EmptyFileName,5531.15596,5530.14812,791.029
EmptyTargetSequence,EmptyFileName,5531.91196,5530.90412,791.137
EmptyTargetSequence,EmptyFileName,5532.91996,5531.91212,791.281
EmptyTargetSequence,EmptyFileName,5535.92996,5534.92212,791.711
EmptyTargetSequence,EmptyFileName,5542.68496,5541.67712,792.676
EmptyTargetSequence,EmptyFileName,5552.02996,5551.02212,794.011
EmptyTargetSequence,EmptyFileName,5552.89796,5551.89012,794.135
EmptyTargetSequence,EmptyFileName,5553.90596,5552.89812,794.279
EmptyTargetSequence,EmptyFileName,5555.03296,5554.02512,794.44
EmptyTargetSequence,EmptyFileName,5555.90096,5554.89312,794.564
EmptyTargetSequence,EmptyFileName,5556.90896,5555.90112,794.708
EmptyTargetSequence,EmptyFileName,5571.38496,5570.37712,796.776
EmptyTargetSequence,EmptyFileName,5571.89596,5570.88812,796.849
EmptyTargetSequence,EmptyFileName,5574.01696,5573.00912,797.152
EmptyTargetSequence,EmptyFileName,5606.93796,5605.93012,801.855
EmptyTargetSequence,EmptyFileName,5609.92696,5608.91912,802.282
EmptyTargetSequence,EmptyFileName,5609.93396,5608.92612,802.283
EmptyTargetSequence,EmptyFileName,5612.92296,5611.91512,802.71
EmptyTargetSequence,EmptyFileName,5612.92996,5611.92212,802.711
EmptyTargetSequence,EmptyFileName,5612.93696,5611.92912,802.712
EmptyTargetSequence,EmptyFileName,5619.95096,5618.94312,803.714
EmptyTargetSequence,EmptyFileName,5620.95196,5619.94412,803.857
EmptyTargetSequence,EmptyFileName,5628.91796,5627.91012,804.995
EmptyTargetSequence,EmptyFileName,5632.91496,5631.90712,805.566
EmptyTargetSequence,EmptyFileName,5632.93596,5631.92812,805.569
EmptyTargetSequence,EmptyFileName,5632.94296,5631.93512,805.57
EmptyTargetSequence,EmptyFileName,5632.94996,5631.94212,805.571
EmptyTargetSequence,EmptyFileName,5633.73396,5632.72612,805.683
EmptyTargetSequence,EmptyFileName,5635.93896,5634.93112,805.998
EmptyTargetSequence,EmptyFileName,5635.94596,5634.93812,805.999
EmptyTargetSequence,EmptyFileName,5635.95296,5634.94512,806
EmptyTargetSequence,EmptyFileName,5645.91396,5644.90612,807.423
EmptyTargetSequence,EmptyFileName,5645.94896,5644.94112,807.428
EmptyTargetSequence,EmptyFileName,5652.90696,5651.89912,808.422
EmptyTargetSequence,EmptyFileName,5653.97096,5652.96312,808.574
EmptyTargetSequence,EmptyFileName,5656.38596,5655.37812,808.919
EmptyTargetSequence,EmptyFileName,5668.30696,5667.29912,810.622
EmptyTargetSequence,EmptyFileName,5672.85696,5671.84912,811.272
EmptyTargetSequence,EmptyFileName,5681.83096,5680.82312,812.554
EmptyTargetSequence,EmptyFileName,5699.10696,5698.09912,815.022
EmptyTargetSequence,EmptyFileName,5701.80196,5700.79412,815.407
EmptyTargetSequence,EmptyFileName,5703.78296,5702.77512,815.69
EmptyTargetSequence,EmptyFileName,5706.00896,5705.00112,816.008
EmptyTargetSequence,EmptyFileName,5706.01596,5705.00812,816.009
